user_id,first_name,last_name,email,cohort,opened,clicked_pre,clicked_post
user_001,Arjun,Saxena,arjun.saxena0@example.com,control,0,1,0
user_002,Arjun,Malhotra,arjun.malhotra1@example.com,control,1,0,0
user_003,Kavya,Singh,kavya.singh2@example.com,control,1,1,1
user_004,Priya,Patel,priya.patel3@example.com,control,1,0,0
user_005,Divya,Tripathi,divya.tripathi4@example.com,control,1,0,0
user_006,Aisha,Mehta,aisha.mehta5@example.com,control,1,1,0
user_007,Meera,Singh,meera.singh6@example.com,control,0,1,0
user_008,Pooja,Reddy,pooja.reddy7@example.com,control,0,0,0
user_009,Ishaan,Saxena,ishaan.saxena8@example.com,control,1,1,1
user_010,Kavya,Mehta,kavya.mehta9@example.com,control,1,0,0
user_011,Ananya,Patel,ananya.patel10@example.com,control,1,0,0
user_012,Pooja,Desai,pooja.desai11@example.com,control,0,1,0
user_013,Aisha,Mehta,aisha.mehta12@example.com,control,1,0,0
user_014,Kavya,Rao,kavya.rao13@example.com,control,0,0,0
user_015,Rahul,Chopra,rahul.chopra14@example.com,control,1,0,0
user_016,Vihaan,Sharma,vihaan.sharma15@example.com,control,1,0,1
user_017,Karan,Gupta,karan.gupta16@example.com,control,0,1,0
user_018,Arjun,Chopra,arjun.chopra17@example.com,control,0,1,0
user_019,Aarav,Rao,aarav.rao18@example.com,control,1,1,1
user_020,Divya,Gupta,divya.gupta19@example.com,control,1,0,0
user_021,Manav,Kapoor,manav.kapoor20@example.com,control,0,1,0
user_022,Neha,Khan,neha.khan21@example.com,control,1,1,0
user_023,Rahul,Malhotra,rahul.malhotra22@example.com,control,1,1,0
user_024,Ananya,Iyer,ananya.iyer23@example.com,control,1,0,1
user_025,Ananya,Joshi,ananya.joshi24@example.com,control,1,0,0
user_026,Ishaan,Bose,ishaan.bose25@example.com,control,0,1,1
user_027,Divya,Desai,divya.desai26@example.com,control,1,1,0
user_028,Arjun,Sharma,arjun.sharma27@example.com,control,1,1,0
user_029,Rahul,Chopra,rahul.chopra28@example.com,control,1,0,0
user_030,Rohan,Sharma,rohan.sharma29@example.com,control,1,0,1
user_031,Vihaan,Saxena,vihaan.saxena30@example.com,control,1,1,1
user_032,Arjun,Patel,arjun.patel31@example.com,control,0,0,1
user_033,Karan,Patel,karan.patel32@example.com,control,1,0,0
user_034,Aarav,Sharma,aarav.sharma33@example.com,control,1,0,0
